pt_id,lat,lon,gvi_mean,gvi_median,gvi_std,headings_count,total_valid,total_veg,gvi_weighted
pt00219,41.003245,70.082396,28.651249999999997,21.38,19.54296909559621,8,2037876,583277,28.62
pt00221,41.003198,70.082291,30.6125,25.93,15.474727553567556,8,2035467,623162,30.62
pt00224,41.003152,70.082186,27.8275,29.77,8.406201367357994,8,2037651,567135,27.83
pt00227,41.003105,70.082078,45.1475,37.135000000000005,22.980653820115737,8,2023198,911180,45.04
pt00229,41.003058,70.081973,31.396250000000002,32.855000000000004,10.220993713920384,8,2028674,636606,31.38
pt00232,41.00301,70.08187,25.665,25.59,6.8350399727120426,8,2033684,521351,25.64
pt00235,41.002961,70.081765,24.6325,22.395,12.774259553604551,8,2035239,500844,24.61
pt00237,41.002912,70.081661,22.65375,18.9,18.1910982449423,8,2034643,459553,22.59
pt00240,41.002865,70.081558,21.552500000000002,16.055,20.360663580261118,8,2028729,435207,21.45
pt00243,41.002817,70.081453,18.482499999999998,17.86,9.997020627595575,8,2037507,375931,18.45
pt00245,41.002768,70.08135,28.18875,24.815,12.12959478477567,8,2039985,575252,28.2
pt00248,41.002719,70.081248,24.29,24.115000000000002,11.98664494939502,8,2038848,495164,24.29
pt00250,41.002668,70.081144,20.3375,23.275,6.757811881709303,8,2036459,414497,20.35
pt00253,41.002619,70.081039,29.58375,19.905,19.82047421769433,8,2040936,603469,29.57
pt00256,41.002573,70.080937,38.46125,34.735,25.080209863270966,8,2024173,777465,38.41
pt00258,41.002527,70.080831,34.14125,30.23,20.553080712771855,8,2034198,693643,34.1
pt00261,41.002481,70.080727,44.28,40.07,28.43752751960992,8,2033183,898772,44.21
pt00264,41.002435,70.080624,45.3925,39.36,28.595809258401083,8,2031357,920044,45.29
pt00266,41.002389,70.080521,37.82875,31.71,17.71778641244845,8,2027534,765070,37.73
pt00269,41.002341,70.080414,33.86125,25.465,23.177067136965984,8,2023196,682084,33.71
pt00272,41.002293,70.080308,22.92125,24.66,11.962660284043368,8,2034426,465610,22.89
pt00274,41.002246,70.080204,16.3475,16.875,7.744540473317778,8,2035365,331969,16.31
pt00277,41.002197,70.080101,13.565,13.8,6.308341416614309,8,2039303,276370,13.55
pt00280,41.00215,70.079999,14.84,16.475,6.167532500348672,8,2042330,302853,14.83
pt00282,41.002101,70.079896,16.93625,16.46,8.844765905809574,8,2040294,345053,16.91
pt00285,41.002052,70.079793,21.1625,20.395,12.296737953039182,8,2032599,428642,21.09
pt00287,41.002003,70.079688,27.92375,28.715,13.943998132837347,8,2032557,566008,27.85
pt00290,41.001954,70.079583,29.30875,27.994999999999997,10.428589053311917,8,2035138,595719,29.27
pt00293,41.001905,70.079479,41.324999999999996,42.64,17.953670535973576,8,2026188,836411,41.28
pt00295,41.001856,70.079377,50.62,51.565,13.801832176510896,8,2024201,1023754,50.58
pt00298,41.001808,70.079274,38.885,41.575,14.727991813453148,8,2026062,785707,38.78
pt00300,41.00176,70.079169,33.0475,32.31,18.32262126443703,8,2022036,663572,32.82
pt00303,41.001712,70.079063,28.755000000000003,24.869999999999997,21.116780057575067,8,2028352,578999,28.55
pt00305,41.001666,70.07896,28.3875,24.125,20.16905462052484,8,2039210,577487,28.32
pt00308,41.001619,70.078856,30.4075,24.45,23.302534963267103,8,2041756,619657,30.35
pt00311,41.001571,70.078752,32.72,26.045,23.904024765716755,8,2040904,666031,32.63
pt00313,41.001523,70.078646,40.2775,37.31,22.76775649277473,8,2037732,818395,40.16
pt00316,41.001476,70.078542,56.021249999999995,53.72,16.387351775509234,8,2005426,1120123,55.85
pt00318,41.001429,70.078437,34.9625,31.020000000000003,26.231050711486404,8,2001842,690108,34.47
pt00321,41.001383,70.078335,32.57625,31.42,26.154531941356332,8,2007918,645496,32.15
pt00323,41.001336,70.078229,30.4725,32.835,19.09683649942352,8,2026194,614311,30.32
pt00326,41.00129,70.078124,29.58875,25.315,14.466874909352645,8,2031568,599313,29.5
pt00329,41.001242,70.078016,31.6925,22.159999999999997,17.357821415307694,8,2032888,642611,31.61
pt00331,41.001195,70.077911,34.323750000000004,24.23,21.087062341973713,8,2030026,693181,34.15
pt00334,41.001146,70.077803,37.4625,31.490000000000002,20.355179579514544,8,2041261,763423,37.4
pt00337,41.0011,70.077699,42.34125,47.195,21.209331125372962,8,2044873,865510,42.33
pt00339,41.001054,70.077595,54.05,52.69,16.27919004654189,8,2026632,1093269,53.95
pt00342,41.001008,70.07749,59.41625,59.32,16.716143555172735,8,2035716,1208530,59.37
pt00344,41.000961,70.077386,63.02875,64.615,11.916843347008589,8,2036134,1283481,63.04
pt00347,41.000916,70.077281,56.115,52.58,6.5932562949902485,8,2030017,1138768,56.1
pt00349,41.00087,70.077177,48.205,49.459999999999994,19.283834829055287,8,2021527,970071,47.99
pt00352,41.000822,70.077068,52.80625,50.894999999999996,15.087019905960789,8,2024257,1066105,52.67
pt00355,41.000775,70.07696,60.47875,63.2,12.23086778547272,8,2017877,1218691,60.39
pt00357,41.000727,70.076853,55.3225,57.69,13.26737647658453,8,2011296,1109614,55.17
pt00360,41.00068,70.076747,51.23625,55.415,11.769470114908072,8,2019413,1032970,51.15
pt00363,41.000634,70.076644,35.9425,38.515,15.447784630813574,8,2024186,724692,35.8
pt00365,41.000586,70.076536,40.74375,42.385,19.337497945331872,8,2025402,821271,40.55
pt00368,41.000538,70.076429,58.260000000000005,51.370000000000005,16.6622584646517,8,2023435,1176691,58.15
pt00370,41.00049,70.076323,57.02875,54.099999999999994,17.934578283703402,8,2010415,1143387,56.87
pt00373,41.000443,70.07622,39.730000000000004,36.965,21.7807857657025,8,2034308,806818,39.66
pt00376,41.000394,70.076113,32.38,29.595,18.572425797401912,8,2034235,656686,32.28
pt00378,41.000347,70.076005,24.41375,16.77,17.00087891635522,8,2040083,497227,24.37
pt00381,41.000302,70.075896,20.86375,16.6,8.996950177699107,8,2041829,425904,20.86
pt00383,41.00026,70.075787,16.8975,15.34,5.589221131530121,8,2045191,345578,16.9
pt00386,41.000219,70.075676,29.9575,31.299999999999997,16.029985072624722,8,2032585,607625,29.89
pt00389,41.000178,70.075567,34.505,31.845,12.501020529769331,8,2031684,700116,34.46
pt00391,41.000134,70.075463,28.20875,23.46,14.25988422864245,8,2028339,569226,28.06
pt00394,41.000088,70.075357,30.29625,30.88,13.892597142260435,8,2030470,613573,30.22
pt00396,41.00004,70.075253,20.245,21.82,11.481138569721336,8,2039762,413033,20.25
pt00399,40.999988,70.075149,11.43,11.505,4.180943160853269,8,2044782,233709,11.43
pt00402,40.999938,70.075046,12.16625,9.945,5.7068028014191725,8,2044751,248700,12.16
pt00404,40.99989,70.074945,18.49625,15.215,13.36725737175944,8,2042035,377106,18.47
pt00407,40.999839,70.074841,41.06625,37.175,19.765574645616265,8,2031353,832667,40.99
pt00409,40.99979,70.074736,32.64,36.37,17.77000200980775,8,2037672,664059,32.59
pt00412,40.999744,70.07463,22.598750000000003,24.335,15.268415988101525,8,2041942,460637,22.56
pt00414,40.999698,70.074523,31.69,37.075,13.856000247443086,8,2042104,646818,31.67
pt00417,40.999651,70.074417,56.051249999999996,47.69,22.857027951720106,8,2019761,1128742,55.88
pt00420,40.999604,70.074312,47.16125,46.455,14.531759737603307,8,2030936,957086,47.13
pt00422,40.999557,70.074205,49.065,47.035,20.872453480262312,8,2027919,992683,48.95
pt00425,40.999511,70.074097,30.6325,35.004999999999995,12.138980599704409,8,2035582,622813,30.6
pt00427,40.999465,70.073992,28.1575,26.32,19.829878430576134,8,2028110,566761,27.95
pt00430,40.999417,70.073884,28.748749999999998,25.39,16.766029803061393,8,2030937,581298,28.62
pt00433,40.999371,70.07378,25.466250000000002,25.880000000000003,15.036225720857326,8,2036090,516953,25.39
pt00435,40.999323,70.073674,36.23875,39.93,17.139718648715995,8,2030898,734423,36.16
pt00438,40.999274,70.073567,36.6225,36.65,13.246800961525983,8,2038697,746275,36.61
pt00440,40.999228,70.073464,29.55875,29.645000000000003,6.222627918675976,8,2036784,601725,29.54
pt00443,40.999181,70.07336,23.23,18.130000000000003,14.405298628332167,8,2038329,471908,23.15
pt00446,40.999134,70.073256,19.6125,20.98,8.597550730959869,8,2042575,400209,19.59
pt00448,40.999086,70.073151,24.805,25.82,7.766653995493445,8,2041094,506077,24.79
pt00451,40.999038,70.073046,33.54375,32.795,12.776177538685033,8,2040593,684049,33.52
pt00453,40.998989,70.072942,46.96125,42.495000000000005,18.981020172417345,8,2019954,944503,46.76
pt00456,40.998941,70.072836,33.95125,34.465,11.201756797803764,8,2035520,690290,33.91
pt00459,40.998893,70.072731,41.3525,45.230000000000004,15.330681421813672,8,2016008,832397,41.29
pt00461,40.998845,70.072627,46.15,49.845,15.258100424739267,8,2008947,925889,46.09
pt00464,40.998796,70.072522,42.5925,40.315,9.578905022421479,8,2021756,861492,42.61
pt00466,40.998747,70.072415,40.7425,42.01,15.364654940107554,8,2014664,818223,40.61
pt00469,40.998698,70.072308,30.23375,24.375,18.390089673905504,8,2016676,603518,29.93
pt00472,40.998651,70.072206,28.8775,27.455,10.989369863645504,8,2030677,584822,28.8
